,0
965,0x93
966,0x94
967,0x94
968,0x94
969,0x93
970,0x91
971,0x8f
972,0x8e
973,0x8e
974,0x8f
975,0x91
976,0x93
977,0x94
978,0x94
979,0x94
980,0x95
981,0x96
982,0x96
983,0x94
984,0x94
985,0x94
986,0x95
987,0x94
988,0x93
989,0x93
990,0x93
991,0x92
992,0x91
993,0x91
994,0x92
995,0x93
996,0x93
997,0x92
998,0x8f
999,0x8b
1000,0x88
1001,0x8a
1002,0x8e
1003,0x90
1004,0x8d
1005,0x89
1006,0x87
1007,0x89
1008,0x8a
1009,0x89
1010,0x87
1011,0x85
1012,0x84
1013,0x85
1014,0x87
1015,0x8a
1016,0x89
1017,0x86
1018,0x83
1019,0x82
1020,0x82
1021,0x81
1022,0x7f
1023,0x7d
1024,0x7e
1025,0x80
1026,0x81
1027,0x80
1028,0x7f
1029,0x7d
1030,0x7b
1031,0x7a
1032,0x7a
1033,0x7b
1034,0x7c
1035,0x7c
1036,0x7c
1037,0x7d
1038,0x7c
1039,0x77
1040,0x71
1041,0x6d
1042,0x6e
1043,0x71
1044,0x73
1045,0x74
1046,0x73
1047,0x73
1048,0x72
1049,0x71
1050,0x70
1051,0x6f
1052,0x6e
1053,0x6e
1054,0x6f
1055,0x71
1056,0x73
1057,0x73
1058,0x73
1059,0x73
1060,0x75
1061,0x77
1062,0x7a
1063,0x7d
1064,0x80
1065,0x82
1066,0x85
1067,0x87
1068,0x88
1069,0x87
1070,0x85
1071,0x83
1072,0x82
1073,0x81
1074,0x80
1075,0x7f
1076,0x7f
1077,0x80
1078,0x85
1079,0x8a
1080,0x8e
1081,0x8f
1082,0x8d
1083,0x8a
1084,0x89
1085,0x8a
1086,0x8a
1087,0x8a
1088,0x88
1089,0x88
1090,0x88
1091,0x87
1092,0x87
1093,0x86
1094,0x87
1095,0x89
1096,0x8a
1097,0x88
1098,0x86
1099,0x86
1100,0x88
1101,0x8c
1102,0x8f
1103,0x8d
1104,0x8a
1105,0x89
1106,0x8c
1107,0x8f
1108,0x90
1109,0x8b
1110,0x84
1111,0x80
1112,0x81
1113,0x84
1114,0x85
1115,0x84
1116,0x83
1117,0x82
1118,0x81
1119,0x80
1120,0x81
1121,0x83
1122,0x83
1123,0x81
1124,0x7f
1125,0x7e
1126,0x7e
1127,0x7d
1128,0x7b
1129,0x7a
1130,0x7b
1131,0x7c
1132,0x7e
1133,0x7f
1134,0x7f
1135,0x7f
1136,0x7c
1137,0x79
1138,0x74
1139,0x70
1140,0x6e
1141,0x6d
1142,0x6d
1143,0x6f
1144,0x71
1145,0x71
1146,0x6f
1147,0x70
1148,0x73
1149,0x77
1150,0x77
1151,0x77
1152,0x79
1153,0x7d
1154,0x7f
1155,0x7e
1156,0x7c
1157,0x7b
1158,0x78
1159,0x73
1160,0x6e
1161,0x6c
1162,0x6d
1163,0x6f
1164,0x6d
1165,0x6a
1166,0x68
1167,0x67
1168,0x65
1169,0x63
1170,0x64
1171,0x69
1172,0x6c
1173,0x6b
1174,0x68
1175,0x68
1176,0x6b
1177,0x6c
1178,0x69
1179,0x67
1180,0x66
1181,0x67
1182,0x69
1183,0x6b
1184,0x6d
1185,0x6b
1186,0x69
1187,0x6b
1188,0x70
1189,0x74
1190,0x75
1191,0x75
1192,0x77
1193,0x79
1194,0x7b
1195,0x7d
1196,0x7f
1197,0x7e
1198,0x7a
1199,0x77
1200,0x78
1201,0x7c
1202,0x7e
1203,0x7d
1204,0x7a
1205,0x79
1206,0x78
1207,0x79
1208,0x7b
1209,0x7e
1210,0x80
1211,0x82
1212,0x85
1213,0x87
1214,0x86
1215,0x85
1216,0x87
1217,0x88
1218,0x88
1219,0x86
1220,0x86
1221,0x87
1222,0x89
1223,0x8a
1224,0x8a
1225,0x87
1226,0x82
1227,0x7d
1228,0x7d
1229,0x82
1230,0x85
1231,0x85
1232,0x85
1233,0x86
1234,0x87
1235,0x87
1236,0x86
1237,0x86
1238,0x86
1239,0x86
1240,0x84
1241,0x83
1242,0x83
1243,0x82
1244,0x82
1245,0x81
1246,0x81
1247,0x80
1248,0x80
1249,0x82
1250,0x84
1251,0x86
1252,0x86
1253,0x86
1254,0x87
1255,0x88
1256,0x89
1257,0x8b
1258,0x8c
1259,0x8a
1260,0x85
1261,0x82
1262,0x82
1263,0x84
1264,0x86
1265,0x88
1266,0x8a
1267,0x8a
1268,0x8b
1269,0x8d
1270,0x90
1271,0x92
1272,0x93
1273,0x95
1274,0x97
1275,0x96
1276,0x92
1277,0x8d
1278,0x8c
1279,0x8e
1280,0x8f
1281,0x8e
1282,0x8d
1283,0x8d
1284,0x8d
1285,0x8c
1286,0x8a
1287,0x88
1288,0x85
1289,0x84
1290,0x84
1291,0x85
1292,0x84
1293,0x83
1294,0x84
1295,0x87
1296,0x87
1297,0x82
1298,0x7c
1299,0x7d
1300,0x81
1301,0x82
1302,0x80
1303,0x7d
1304,0x7e
1305,0x7f
1306,0x7e
1307,0x7c
1308,0x7b
1309,0x7c
1310,0x7e
1311,0x7e
1312,0x7e
1313,0x7e
1314,0x80
1315,0x82
1316,0x83
1317,0x82
1318,0x80
1319,0x7f
1320,0x7f
1321,0x7e
1322,0x7b
1323,0x7a
1324,0x7c
1325,0x7f
1326,0x82
1327,0x85
1328,0x88
1329,0x88
1330,0x86
1331,0x86
1332,0x87
1333,0x8a
1334,0x8c
1335,0x8e
1336,0x91
1337,0x92
1338,0x91
1339,0x92
1340,0x95
1341,0x98
1342,0x98
1343,0x98
1344,0x99
1345,0x9b
1346,0x9e
1347,0xa1
1348,0xa4
1349,0xa4
1350,0xa4
1351,0xa4
1352,0xa5
1353,0xa3
1354,0xa0
1355,0xa1
