,0
668,0x87
669,0x84
670,0x7a
671,0x71
672,0x69
673,0x60
674,0x5f
675,0x60
676,0x63
677,0x6a
678,0x6f
679,0x6f
680,0x69
681,0x67
682,0x66
683,0x6a
684,0x74
685,0x7b
686,0x7d
687,0x7d
688,0x7a
689,0x7b
690,0x78
691,0x77
692,0x76
693,0x77
694,0x77
695,0x76
696,0x77
697,0x74
698,0x6f
699,0x6a
700,0x6a
701,0x69
702,0x66
703,0x65
704,0x62
705,0x63
706,0x65
707,0x65
708,0x65
709,0x67
710,0x6a
711,0x6d
712,0x73
713,0x78
714,0x7d
715,0x82
716,0x88
717,0x8c
718,0x92
719,0x98
720,0x9d
721,0xa3
722,0xa7
723,0xab
724,0xad
725,0xab
726,0xa6
727,0xa1
728,0x9d
729,0x9a
730,0x92
731,0x88
732,0x7e
733,0x73
734,0x6a
735,0x63
736,0x5c
737,0x51
738,0x48
739,0x43
740,0x3f
741,0x3d
742,0x3c
743,0x39
744,0x3d
745,0x46
746,0x4b
747,0x4f
748,0x54
749,0x5b
750,0x60
751,0x6c
752,0x78
753,0x80
754,0x85
755,0x89
756,0x8e
757,0x92
758,0x98
759,0x9c
760,0x9f
761,0xa0
762,0xa0
763,0xa0
764,0x9f
765,0x9a
766,0x96
767,0x90
768,0x8c
769,0x88
770,0x82
771,0x7b
772,0x77
773,0x74
774,0x6f
775,0x6f
776,0x6c
777,0x67
778,0x66
779,0x63
780,0x65
781,0x67
782,0x6d
783,0x70
784,0x71
785,0x70
786,0x6f
787,0x71
788,0x74
789,0x77
790,0x7a
791,0x7a
792,0x76
793,0x73
794,0x74
795,0x76
796,0x78
797,0x78
798,0x77
799,0x71
800,0x6d
801,0x6a
802,0x69
803,0x66
804,0x65
805,0x66
806,0x66
807,0x63
808,0x5f
809,0x5c
810,0x5c
811,0x5e
812,0x66
813,0x6f
814,0x74
815,0x7b
816,0x80
817,0x84
818,0x88
819,0x8f
820,0x95
821,0x9d
822,0xa6
823,0xaa
824,0xad
825,0xad
826,0xa8
827,0xa3
828,0x9d
829,0x96
830,0x8f
831,0x87
832,0x7e
833,0x74
834,0x6a
835,0x60
836,0x59
837,0x54
838,0x51
839,0x51
840,0x4f
841,0x51
842,0x4f
843,0x4e
844,0x4f
845,0x51
846,0x58
847,0x5e
848,0x62
849,0x65
850,0x63
851,0x63
852,0x65
853,0x6a
854,0x71
855,0x76
856,0x7a
857,0x7a
858,0x7a
859,0x7d
860,0x7e
861,0x82
862,0x8b
863,0x90
864,0x96
865,0x99
866,0x9f
867,0xa4
868,0xa7
869,0xaa
870,0xad
871,0xaa
872,0xa6
873,0xa6
874,0xa4
875,0x9a
876,0x8e
877,0x81
878,0x76
879,0x6c
880,0x62
881,0x5c
882,0x55
883,0x4e
884,0x4a
885,0x44
886,0x3f
887,0x3d
888,0x3f
889,0x48
890,0x54
891,0x5b
892,0x62
893,0x66
894,0x6c
895,0x6f
896,0x77
897,0x7e
898,0x81
899,0x87
900,0x8b
901,0x8e
902,0x8b
903,0x8b
904,0x89
905,0x87
906,0x84
907,0x81
908,0x7e
909,0x7e
910,0x80
911,0x7d
912,0x78
913,0x76
914,0x74
915,0x73
916,0x74
917,0x77
918,0x7a
919,0x78
920,0x78
921,0x76
922,0x77
923,0x7b
924,0x7e
925,0x81
926,0x84
927,0x85
928,0x87
929,0x85
930,0x81
931,0x80
932,0x81
933,0x84
934,0x82
935,0x80
936,0x7d
937,0x77
938,0x74
939,0x71
940,0x6f
941,0x6f
942,0x6d
943,0x6a
944,0x66
945,0x60
946,0x59
947,0x55
948,0x57
949,0x55
950,0x57
951,0x55
952,0x54
953,0x52
954,0x51
955,0x54
956,0x59
957,0x65
958,0x6f
959,0x78
960,0x80
961,0x85
962,0x8b
963,0x95
964,0x9f
965,0xa7
966,0xb0
967,0xb7
968,0xbc
969,0xbe
970,0xb9
971,0xb7
972,0xae
973,0xa4
974,0x9c
975,0x93
976,0x89
977,0x7d
978,0x73
979,0x67
980,0x5c
981,0x52
982,0x4a
983,0x47
984,0x46
985,0x47
986,0x4b
987,0x4b
988,0x47
989,0x46
990,0x4d
991,0x55
992,0x5c
993,0x65
994,0x66
995,0x65
996,0x65
997,0x69
998,0x6f
999,0x73
1000,0x77
1001,0x7a
1002,0x7a
1003,0x7a
1004,0x7d
1005,0x80
1006,0x84
1007,0x8b
1008,0x8f
1009,0x95
1010,0x9a
1011,0xa0
1012,0xa1
1013,0xa1
1014,0xa0
1015,0x9f
1016,0x9f
1017,0x9f
1018,0x9c
1019,0x95
1020,0x8c
1021,0x84
1022,0x7a
1023,0x70
1024,0x67
1025,0x60
1026,0x5b
1027,0x58
1028,0x57
1029,0x54
1030,0x51
1031,0x4e
1032,0x4f
1033,0x57
1034,0x5e
1035,0x65
1036,0x6a
1037,0x73
1038,0x77
1039,0x7a
1040,0x7a
1041,0x7b
1042,0x7d
1043,0x80
1044,0x82
1045,0x85
1046,0x82
1047,0x7e
1048,0x7b
1049,0x78
1050,0x73
1051,0x70
1052,0x71
1053,0x73
1054,0x71
1055,0x70
1056,0x6d
1057,0x6d
1058,0x6f
1059,0x70
1060,0x77
1061,0x7b
1062,0x7d
1063,0x80
1064,0x81
1065,0x82
1066,0x85
1067,0x8b
1068,0x90
1069,0x92
1070,0x95
1071,0x93
1072,0x90
1073,0x8f
1074,0x8f
1075,0x8b
1076,0x85
1077,0x81
1078,0x7b
1079,0x77
1080,0x71
1081,0x6d
1082,0x69
1083,0x66
1084,0x66
1085,0x63
1086,0x5e
1087,0x57
1088,0x54
1089,0x51
1090,0x51
1091,0x54
1092,0x54
1093,0x52
1094,0x51
1095,0x51
1096,0x54
1097,0x59
1098,0x60
1099,0x69
1100,0x71
1101,0x77
1102,0x7e
1103,0x85
1104,0x8e
1105,0x98
1106,0xa3
1107,0xab
1108,0xb1
1109,0xb5
1110,0xb9
1111,0xb8
1112,0xb1
1113,0xad
1114,0xa6
1115,0x9f
1116,0x98
1117,0x8f
1118,0x81
1119,0x71
1120,0x67
1121,0x5c
1122,0x55
1123,0x51
1124,0x4f
1125,0x4d
1126,0x4a
